                      The alpha separation energy of elements 89 to 118. (Unit: MeV)

Nucl.	        EXP	        LDM	        DZ	        WS4	        FRDM	LDM-lgb	DZ-lgb	WS4-lgb	FRDM-lgb
125	194	319	11.763±0.050	        #         	12.752±0.000	13.530±0.005
125	195	320	11.639±0.087	        #         	12.381±0.003	13.353±0.004
125	196	321	11.571±0.089	        #         	12.209±0.002	7.317±0.002
125	197	322	11.464±0.068	        #         	12.213±0.002	6.916±0.006
125	198	323	11.439±0.082	        #         	12.327±0.003	12.518±0.004
125	199	324	11.218±0.091	        #         	12.315±0.001	11.894±0.006
125	200	325	10.947±0.090	        #         	12.235±0.005	11.540±0.003
125	201	326	10.864±0.078	        #         	12.369±0.000	11.110±0.004
125	202	327	10.724±0.077	        #         	12.519±0.007	11.116±0.006
125	203	328	10.475±0.072	        #         	12.527±0.015	9.541±0.005
125	204	329	10.378±0.062	        #         	11.683±0.004	9.801±0.003
125	205	330	10.242±0.068	        #         	11.441±0.006	9.769±0.006
125	206	331	10.155±0.074	        #         	11.296±0.004	9.968±0.005
125	207	332	10.041±0.080	        #         	11.194±0.004	9.783±0.004
125	208	333	9.947±0.073	        #         	11.120±0.006	9.906±0.007
125	209	334	9.798±0.057	        #         	10.891±0.004	9.754±0.014
125	210	335	9.782±0.054	        #         	10.011±0.048	10.179±0.017
125	211	336	9.674±0.062	        #         	10.502±0.004	10.112±0.001
125	212	337	9.472±0.089	        #         	10.218±0.004	9.533±0.017
125	213	338	9.469±0.070	        #         	10.135±0.000	9.853±0.030
125	214	339	9.325±0.069	        #         	10.205±0.001	12.063±0.016
125	215	340	9.229±0.072	        #         	8.050±0.003	        #         
125	216	341	9.048±0.071	        #         	9.889±0.002	        #         
125	217	342	8.875±0.066	        #         	9.759±0.003	        #         
125	218	343	8.753±0.068	        #         	9.593±0.001	        #         
125	219	344	8.628±0.070	        #         	8.936±0.004	        #         
125	220	345	8.494±0.068	        #         	8.895±0.001	        #         
125	221	346	8.375±0.068	        #         	8.797±0.001	        #         
125	222	347	8.235±0.068	        #         	8.626±0.001	        #         
125	223	348	8.117±0.069	        #         	8.568±0.001	        #         
125	224	349	7.976±0.069	        #         	8.504±0.002	        #         
125	225	350	        #         	        #         	8.505±0.001	        #         
126	120	246	18.103±0.071	        #         	        #         	        #         
126	121	247	17.928±0.024	        #         	        #         	        #         
126	122	248	17.818±0.006	        #         	        #         	        #         
126	123	249	17.239±0.009	        #         	        #         	        #         
126	124	250	16.888±0.012	        #         	        #         	        #         
126	125	251	16.550±0.013	        #         	        #         	        #         
126	126	252	16.677±0.054	        #         	        #         	        #         
126	127	253	18.357±0.052	        #         	        #         	        #         
126	128	254	19.930±0.028	        #         	        #         	        #         
126	129	255	20.098±0.004	        #         	        #         	        #         
126	130	256	19.989±0.009	        #         	        #         	        #         
126	131	257	19.799±0.008	        #         	        #         	        #         
126	132	258	19.431±0.004	        #         	        #         	        #         
126	133	259	19.271±0.020	        #         	        #         	        #         
126	134	260	19.301±0.033	        #         	        #         	        #         
126	135	261	19.153±0.033	        #         	        #         	        #         
126	136	262	18.977±0.011	        #         	        #         	        #         
126	137	263	18.860±0.004	        #         	        #         	        #         
126	138	264	18.691±0.002	        #         	        #         	        #         
126	139	265	18.493±0.009	        #         	        #         	        #         
126	140	266	18.331±0.020	        #         	        #         	        #         
126	141	267	18.213±0.026	        #         	        #         	        #         
126	142	268	18.215±0.017	        #         	        #         	        #         
126	143	269	18.198±0.024	        #         	        #         	        #         
126	144	270	18.130±0.023	        #         	        #         	        #         
126	145	271	17.904±0.021	        #         	        #         	        #         
126	146	272	17.857±0.016	        #         	        #         	        #         
126	147	273	17.717±0.010	        #         	        #         	        #         
126	148	274	17.554±0.009	        #         	        #         	        #         
126	149	275	17.246±0.021	        #         	        #         	        #         
126	150	276	17.243±0.013	        #         	        #         	        #         
126	151	277	17.135±0.012	        #         	        #         	        #         
126	152	278	17.008±0.005	        #         	        #         	        #         
126	153	279	17.190±0.005	        #         	        #         	        #         
126	154	280	17.296±0.001	        #         	        #         	        #         
126	155	281	17.181±0.013	        #         	        #         	        #         
126	156	282	16.994±0.003	        #         	        #         	        #         
126	157	283	16.943±0.007	        #         	        #         	        #         
126	158	284	16.906±0.018	        #         	        #         	        #         
126	159	285	16.761±0.011	        #         	        #         	        #         
126	160	286	16.650±0.014	        #         	        #         	        #         
126	161	287	16.593±0.009	        #         	        #         	        #         
126	162	288	16.466±0.008	        #         	        #         	        #         
126	163	289	16.359±0.005	        #         	        #         	        #         
126	164	290	16.250±0.003	        #         	        #         	        #         
126	165	291	16.181±0.005	        #         	        #         	        #         
126	166	292	16.082±0.007	        #         	        #         	        #         
126	167	293	15.965±0.010	        #         	        #         	        #         
126	168	294	15.859±0.011	        #         	        #         	        #         
126	169	295	15.765±0.007	        #         	        #         	        #         
126	170	296	15.644±0.014	        #         	        #         	        #         
126	171	297	15.552±0.006	        #         	        #         	        #         
126	172	298	15.427±0.012	        #         	        #         	        #         
126	173	299	15.305±0.002	        #         	        #         	        #         
126	174	300	15.184±0.016	        #         	        #         	        #         
126	175	301	15.045±0.011	        #         	        #         	        #         
126	176	302	14.881±0.015	        #         	16.321±0.003	        #         
126	177	303	14.731±0.003	        #         	16.093±0.008	        #         
126	178	304	14.615±0.017	        #         	16.076±0.005	        #         
126	179	305	14.468±0.010	        #         	16.182±0.007	        #         
126	180	306	14.351±0.011	        #         	16.398±0.003	15.416±0.003
126	181	307	14.234±0.015	        #         	16.297±0.000	15.532±0.003
126	182	308	14.014±0.017	        #         	16.104±0.007	14.823±0.007
126	183	309	13.734±0.009	        #         	16.035±0.002	15.066±0.005
126	184	310	13.659±0.015	        #         	16.024±0.001	11.027±0.005
126	185	311	13.599±0.019	        #         	16.317±0.002	10.638±0.002
126	186	312	13.362±0.021	        #         	16.158±0.006	10.251±0.005
126	187	313	13.243±0.014	        #         	15.301±0.008	10.191±0.002
126	188	314	13.076±0.022	        #         	14.700±0.003	9.701±0.001
126	189	315	12.975±0.014	        #         	14.436±0.005	9.414±0.002
126	190	316	12.856±0.031	        #         	14.219±0.006	9.600±0.003
126	191	317	12.715±0.024	        #         	14.146±0.007	13.001±0.002
126	192	318	12.456±0.029	        #         	14.022±0.008	13.122±0.001
126	193	319	12.192±0.028	        #         	13.555±0.007	12.957±0.001
126	194	320	12.153±0.034	        #         	13.136±0.007	9.566±0.002
126	195	321	11.876±0.027	        #         	12.818±0.006	7.192±0.003
126	196	322	11.772±0.027	        #         	12.727±0.009	6.812±0.006
126	197	323	11.633±0.048	        #         	12.838±0.009	6.456±0.001
126	198	324	11.594±0.041	        #         	12.854±0.005	6.126±0.002
126	199	325	11.495±0.057	        #         	12.853±0.012	11.177±0.005
126	200	326	11.457±0.044	        #         	12.788±0.009	11.603±0.003
126	201	327	11.200±0.036	        #         	12.729±0.005	11.379±0.002
126	202	328	10.997±0.045	        #         	12.636±0.002	9.771±0.000
126	203	329	10.855±0.040	        #         	12.642±0.004	9.864±0.002
126	204	330	10.679±0.047	        #         	12.305±0.008	11.612±0.003
126	205	331	10.454±0.035	        #         	11.925±0.002	11.557±0.003
126	206	332	10.252±0.033	        #         	11.692±0.007	11.539±0.006
126	207	333	10.130±0.042	        #         	11.696±0.004	11.204±0.010
126	208	334	10.043±0.047	        #         	11.677±0.005	11.051±0.012
126	209	335	9.902±0.049	        #         	11.391±0.013	10.561±0.007
126	210	336	9.749±0.030	        #         	10.315±0.006	10.476±0.009
126	211	337	9.591±0.030	        #         	10.001±0.002	10.017±0.003
126	212	338	9.592±0.038	        #         	10.649±0.023	10.204±0.003
126	213	339	9.335±0.034	        #         	10.383±0.035	11.369±0.035
126	214	340	9.233±0.052	        #         	10.234±0.000	        #         
126	215	341	9.193±0.038	        #         	10.418±0.002	        #         
126	216	342	9.052±0.043	        #         	10.482±0.005	        #         
126	217	343	8.896±0.043	        #         	10.301±0.002	        #         
126	218	344	8.765±0.047	        #         	10.124±0.004	        #         
126	219	345	8.591±0.039	        #         	10.972±0.002	        #         
126	220	346	8.477±0.048	        #         	10.737±0.002	        #         
126	221	347	8.344±0.044	        #         	10.686±0.003	        #         
126	222	348	8.220±0.047	        #         	8.870±0.003	        #         
126	223	349	8.090±0.041	        #         	8.805±0.004	        #         
126	224	350	7.960±0.046	        #         	8.847±0.005	        #         
126	225	351	7.832±0.042	        #         	        #         	        #         
